Year of Life,Age,Vaccine,Dose
Birth,4 weeks,BCG,1st dose
1st Year,2 months,OPV,1st dose
1st Year,2 months,Pentavalent (DTP-HepB-Hib),1st dose
1st Year,2 months,fIPV,1st dose
1st Year,4 months,OPV,2nd dose
1st Year,4 months,Pentavalent (DTP-HepB-Hib),2nd dose
1st Year,4 months,fIPV,2nd dose
1st Year,6 months,OPV,3rd dose
1st Year,6 months,Pentavalent (DTP-HepB-Hib),3rd dose
1st Year,9 months,MMR,1st dose
2nd Year,12 months,Live JE,1st dose
2nd Year,18 months,OPV,4th dose
2nd Year,18 months,DTP,4th dose
Pre-School,3 years,MMR,2nd dose
School Age,5 years,OPV,5th dose
School Age,5 years,DT,5th dose
School Age,10 years,HPV,1st dose
School Age,10 years,HPV,2nd dose
School Age,11 years,aTd,6th dose
Child-Bearing Age,15 years,MMR (Rubella),Single dose
